group,names,scores,logfoldchanges,pvals,pvals_adj
0,CD53,6.8507476,,7.346492566072895e-12,1.1754388105716632e-10
0,TNFRSF17,6.756721,,1.411497449723849e-11,2.2228306294863764e-10
0,GPR183,6.730161,,1.6947525057180507e-11,2.648050790184454e-10
0,IGFLR1,6.713798,,1.8962257438150842e-11,2.9398848741319134e-10
0,P2RY8,6.617474,,3.653886266482091e-11,5.578452315239833e-10
0,IGLL3P,6.5435987,,6.005590007591386e-11,9.099378799380888e-10
0,IL16,6.506338,,7.700468074071706e-11,1.1493235931450306e-09
0,LRMP,6.483648,,8.953111624326536e-11,1.3166340624009611e-09
0,NR4A2,6.4504786,,1.1149765102890965e-10,1.6277029347286079e-09
0,IGLL1,6.416926,,1.3905338118961066e-10,2.015266394052328e-09
0,LAPTM5,6.391092,,1.6470539196872443e-10,2.369861754945675e-09
0,FOS,6.372794,,1.8561478060200942e-10,2.6516397228858484e-09
0,UCP2,6.159289,,7.307225225083618e-10,1.0009897568607697e-08
0,EAF2,6.1304927,,8.760743212808713e-10,1.1919378520828182e-08
0,SELPLG,6.0464206,,1.4809932604501882e-09,1.974657680600251e-08
0,CD37,6.0404153,,1.5371808360019206e-09,2.036001107287312e-08
0,HMHA1,5.8689866,,4.3846746185983964e-09,5.731600808625355e-08
0,ELMO1,5.786305,,7.1951639056921485e-09,9.28408245895761e-08
0,TMEM243,5.6082664,,2.0436360987969417e-08,2.571808689228365e-07
0,RASGRP3,5.449976,,5.037661283415944e-08,6.181179488853918e-07
0,FCGR2B,5.441875,,5.272263453288816e-08,6.429589577181482e-07
0,ADORA2A,5.4044337,,6.501349985421612e-08,7.832951789664592e-07
0,ZFP36,5.376947,,7.575948618510457e-08,9.072992357497553e-07
0,DOCK2,5.353289,,8.63697032497348e-08,1.0273781902648445e-06
0,GYPC,5.352362,,8.681345707737937e-08,1.0273781902648445e-06
0,ZNF165,5.3081093,,1.1076816511310829e-07,1.2955340948901553e-06
0,LINC00152,5.2924314,,1.2070068043302942e-07,1.4034962841049934e-06
0,RCSD1,5.275202,,1.3260996029813787e-07,1.530798374255573e-06
0,FCRLA,5.274416,,1.3317945856023484e-07,1.530798374255573e-06
0,VIM,5.228128,,1.7123491479762855e-07,1.9458513045185064e-06
0,CD86,5.2098103,,1.8903379284669494e-07,2.112109417281508e-06
0,CYTH4,5.162253,,2.4399553623275456e-07,2.711061513697273e-06
0,GMFG,5.1609225,,2.457355721461342e-07,2.7153101894600465e-06
0,CD19,5.1140904,,3.15255960644503e-07,3.4454203349126013e-06
0,SELL,5.0854754,,3.667061778681104e-07,3.943077181377531e-06
0,NR4A1,5.059601,,4.2013478882430684e-07,4.4458707812095965e-06
0,CCL5,5.0110965,,5.412082936364717e-07,5.696929406699702e-06
0,LIME1,4.983771,,6.235693214833401e-07,6.529521690925027e-06
0,LY96,4.9680324,,6.763563175157087e-07,7.045378307455299e-06
0,PTPRCAP,4.963095,,6.937849226505256e-07,7.1894810637360165e-06
0,CDC42SE2,4.86796,,1.1275609288368473e-06,1.144731907448576e-05
